old_iri,new_iri,module,status,notes
https://w3id.org/gcdfo/salmon#YearBasis,https://w3id.org/smn/YearBasis,07-controlled-vocabularies.ttl,migrated,mapped from the current DFO SKOS concept at c7a54251; advisory closeMatch only
https://w3id.org/gcdfo/salmon#BroodYear,https://w3id.org/smn/BroodYearBasis,07-controlled-vocabularies.ttl,migrated,renamed from the current DFO SKOS concept so the basis remains distinct from smn:broodYear
https://w3id.org/gcdfo/salmon#ReturnYear,https://w3id.org/smn/ReturnYearBasis,07-controlled-vocabularies.ttl,migrated,renamed from the current DFO SKOS concept so the basis remains distinct from smn:returnYear; advisory closeMatch only
https://w3id.org/gcdfo/salmon#CatchYear,https://w3id.org/smn/CatchYearBasis,07-controlled-vocabularies.ttl,migrated,renamed from the current DFO SKOS concept so the basis remains distinct from smn:catchYear
https://w3id.org/gcdfo/salmon#AgeNotationScheme,https://w3id.org/smn/AgeNotationScheme,07-controlled-vocabularies.ttl,migrated,shared SKOS scheme
https://w3id.org/gcdfo/salmon#AgeNotation,https://w3id.org/smn/AgeNotation,07-controlled-vocabularies.ttl,migrated,shared SKOS top concept
https://w3id.org/gcdfo/salmon#GilbertRichAgeNotation,https://w3id.org/smn/GilbertRichAgeNotation,07-controlled-vocabularies.ttl,migrated,definition refined with explicit decomposition scope note
https://w3id.org/gcdfo/salmon#EuropeanAgeNotation,https://w3id.org/smn/EuropeanAgeNotation,07-controlled-vocabularies.ttl,migrated,definition refined with explicit component order
https://w3id.org/gcdfo/salmon#AgeBasisScheme,https://w3id.org/smn/AgeBasisScheme,07-controlled-vocabularies.ttl,migrated,shared SKOS scheme
https://w3id.org/gcdfo/salmon#AgeBasis,https://w3id.org/smn/AgeBasis,07-controlled-vocabularies.ttl,migrated,shared SKOS top concept
https://w3id.org/gcdfo/salmon#AgeAtReturnBasis,https://w3id.org/smn/AgeAtReturnBasis,07-controlled-vocabularies.ttl,migrated,shared age-reference basis
https://w3id.org/gcdfo/salmon#AgeAtMaturityBasis,https://w3id.org/smn/AgeAtMaturityBasis,07-controlled-vocabularies.ttl,migrated,shared age-reference basis
https://w3id.org/gcdfo/salmon#AgeAtSamplingBasis,https://w3id.org/smn/AgeAtSamplingBasis,07-controlled-vocabularies.ttl,migrated,shared age-reference basis
https://w3id.org/gcdfo/salmon#AgeDimensionScheme,https://w3id.org/smn/AgeDimensionScheme,07-controlled-vocabularies.ttl,migrated,shared SKOS scheme
https://w3id.org/gcdfo/salmon#AgeDimension,https://w3id.org/smn/AgeDimension,07-controlled-vocabularies.ttl,migrated,shared SKOS top concept
https://w3id.org/gcdfo/salmon#TotalAgeDimension,https://w3id.org/smn/TotalAgeDimension,07-controlled-vocabularies.ttl,migrated,component meaning qualified by the declared age convention
https://w3id.org/gcdfo/salmon#FreshwaterAgeDimension,https://w3id.org/smn/FreshwaterAgeDimension,07-controlled-vocabularies.ttl,migrated,component meaning qualified by the declared age convention
https://w3id.org/gcdfo/salmon#OceanAgeDimension,https://w3id.org/smn/OceanAgeDimension,07-controlled-vocabularies.ttl,migrated,component meaning qualified by the declared age convention
https://w3id.org/gcdfo/salmon#AgeClassValueScheme,https://w3id.org/smn/AgeClassValueScheme,07-controlled-vocabularies.ttl,migrated,shared open SKOS scheme
https://w3id.org/gcdfo/salmon#AgeClassValue,https://w3id.org/smn/AgeClassValue,07-controlled-vocabularies.ttl,migrated,scope clarified so an age coordinate is not a cohort year class
https://w3id.org/gcdfo/salmon#Age1YearClass,https://w3id.org/smn/AgeClassValue1,07-controlled-vocabularies.ttl,migrated,renamed to avoid ambiguous year-class wording
https://w3id.org/gcdfo/salmon#Age2YearClass,https://w3id.org/smn/AgeClassValue2,07-controlled-vocabularies.ttl,migrated,renamed to avoid ambiguous year-class wording
https://w3id.org/gcdfo/salmon#Age3YearClass,https://w3id.org/smn/AgeClassValue3,07-controlled-vocabularies.ttl,migrated,renamed to avoid ambiguous year-class wording
https://w3id.org/gcdfo/salmon#Age4YearClass,https://w3id.org/smn/AgeClassValue4,07-controlled-vocabularies.ttl,migrated,renamed to avoid ambiguous year-class wording
https://w3id.org/gcdfo/salmon#Age5YearClass,https://w3id.org/smn/AgeClassValue5,07-controlled-vocabularies.ttl,migrated,renamed to avoid ambiguous year-class wording
https://w3id.org/gcdfo/salmon#Age6YearClass,https://w3id.org/smn/AgeClassValue6,07-controlled-vocabularies.ttl,migrated,renamed to avoid ambiguous year-class wording
https://w3id.org/gcdfo/salmon#Age7YearClass,https://w3id.org/smn/AgeClassValue7,07-controlled-vocabularies.ttl,migrated,renamed to avoid ambiguous year-class wording
